a,eɪ
brazen,breɪzən
BRAZILIAN,brəˈzɪliən
breach,briːtʃ
bread,bred
BREADWINNER,ˈbredˌwɪnə(r)
BREAK,breɪk
BREAKDOWN,ˈbreɪkˌdaʊn
breakfast,brekfəst
breaking,ˈbreɪkɪŋ
BREAKTHROUGH,ˈbreɪkθruː
breakup,breɪkʌp
breast,brest
breath,breθ
breathe,bri:ð
breathed,brɛθt
BREATHING,ˈbriːðɪŋ
breckinridge,ˈbrɛkɪnˌrɪdʒ
breed,briːd
breezy,briːzi
BREW,bruː
brewing,ˈbruːɪŋ
BRIBE,braɪb
BRICK,brɪk
brickyard,ˈbrɪkˌjɑːd
bride,braɪd
BRIDGE,brɪdʒ
bridges,ˈbrɪdʒɪz
bridging,ˈbrɪdʒɪŋ
BRIEF,briːf
briefcase,briːfkeɪs
BRIEFING,ˈbriːfɪŋ
briefly,briːfli
bright,braɪt
BRIGHTEN,ˈbraɪt(ə)n
brilliant,brɪliənt
brin,brɪn
BRING,brɪŋ
brink,brɪŋk
brinkmanship,brɪŋkmənʃɪp
brisbane,ˈbrɪzbən
bristle,brɪsəl
britain,ˈbrɪtən
british,brɪtɪʃ
BROAD,brɔːd
BROADCAST,ˈbrɔːdˌkɑːst
broadcasting,brɔːdkɑːstɪŋ
BROADEN,ˈbrɔːd(ə)n
broadly,brɔːdli
BROKE,brəʊk
BROKEN,ˈbrəʊkən
BROKER,ˈbrəʊkə(r)
BROKERAGE,ˈbrəʊkərɪdʒ
broking,ˈbrəʊkɪŋ
BROOK,brʊk
brooke,brʊk
brooks,brʊks
BROTHER,ˈbrʌðə(r)
BROUGHT,brɔːt
brown,braʊn
browning,ˈbraʊnɪŋ
brunei,bruːˈnaɪ
bruno,ˈbruːnəʊ
brunswick,ˈbrʌnzwɪk
brunt,brʌnt
brush,brʌʃ
brushed,brʌʃt
bryan,ˈbraɪən
BUBBLE,ˈbʌb(ə)l
bucharest,ˌbuːkəˈrɛst
BUCK,bʌk
bucked,bʌkt
budapest,ˌbjuːdəˈpɛst
BUDGET,ˈbʌdʒɪt
buenos aires,ˈbweɪnɒs
buenos días,ˈbwɛnɔs
BUFFER,ˈbʌfə(r)
BUFFET,ˈbʊfeɪ
buffett,ˈbʌfɪt
BUGLE,ˈbjuːɡ(ə)l
BUILD,bɪld
BUILDER,ˈbɪldə(r)
BUILDING,ˈbɪldɪŋ
buildup,ˈbɪldˌʌp
BUILT,bɪlt
built-up,ˈbɪltˈʌp
bujumbura,ˌbuːdʒəmˈbʊərə
bulb,bʌlb
bulgaria,bʌlˈɡɛərɪə
BULK,bʌlk
bulking,ˈbʌlkɪŋ
bulks,bʌlks
BULL,bʊl
BULLET,ˈbʊlɪt
bullion,bʊliən
bullish,bʊlɪʃ
bullshit,bʊlʃɪt
bulwark,bʊlwə(r)k
Bumble,@Bumble
BUMP,bʌmp
bumps,bʌmps
bumpy,bʌmpi
bund,bʌnd
BUNDLE,ˈbʌnd(ə)l
BUOY,bɔɪ
burden,bɜː(r)dən
burdensome,bɜː(r)dənsəm
bureau,bjʊəroʊ
BUREAUCRAT,ˈbjʊərəˌkræt
BURGEONING,ˈbɜː(r)dʒ(ə)nɪŋ
BURGER,ˈbɜː(r)ɡə(r)
burial,beriəl
buried,berɪd
burkina faso,bɜːˈkiːnəˈfæsəʊ
BURN,bɜː(r)n
burned,bɜːnd
BURNING,ˈbɜː(r)nɪŋ
burns,bɜːnz
burnside,ˈbɜːnˌsaɪdˈbɜrnˌsaɪd
Burrich,@Burrich
bursa,ˈbɜːsə
BURST,bɜː(r)st
burundi,bəˈrʊndɪ
burundian,bəˈrʊndɪən
BURY,ˈberi
BUS,bʌs
BUSINESS,ˈbɪznəs
BUSINESSMAN,ˈbɪznəsmæn
BUST,bʌst
BUSTED,ˈbʌstɪd
bustle,bʌsəl
BUSY,ˈbɪzi
but,bət
butte,bjuːt
BUTTER,ˈbʌtə(r)
BUTTON,ˈbʌt(ə)n
BUTTRESS,ˈbʌtrəs
BUY,baɪ
BUYBACK,@BUYBACK
buy-back,ˈbaɪˌbæk
BUYER,ˈbaɪə(r)
buying,ˈbaɪɪŋ
BUYOUT,ˈbaɪaʊt
buzz,bʌz
by,baɪ
bygone,baɪgɒn
bypass,baɪpɑːs
c,siː
ca,kɑ
cabinet,kæbɪnɪt
cable,keɪbəl
cac-,kæk
cadillac,ˈkædəlˌæk
cage,keɪdʒ
cake,keɪk
calculate,kælkjʊleɪt
CALCULATED,ˈkælkjʊˌleɪtɪd
CALCULATION,ˌkælkjʊˈleɪʃ(ə)n
caleb,ˈkeɪləb
calendar,kælɪndə(r)
calgary,ˈkælɡərɪ
californian,ˌkælɪˈfɔːnɪən
CALL,kɔːl
called,kɔ:ld
CALLING,ˈkɔːlɪŋ
CALM,kɑːm
calming,ˈkɑːmɪŋ
calmly,kɑːmli
cambridge,ˈkeɪmbrɪdʒ
camden,ˈkæmdən
CAME,keɪm
camel,kæməl
CAMERA,ˈkæm(ə)rə
cameron,ˈkæmərən
CAMP,kæmp
CAMPAIGN,kæmˈpeɪn
campbell,ˈkæmbəl
camped,kæmpt
CAMPUS,ˈkæmpəs
can,kæn
CANADIAN,kəˈneɪdiən
canal,kənæl
canary,kəneəri
CANCEL,ˈkæns(ə)l
CANCELED,ˈkæns(ə)ld
CANCELING,ˈkæns(ə)lɪŋ
CANCELLATION,ˌkænsəˈleɪʃ(ə)n
candid,kændɪd
CANDIDATE,ˈkændɪdeɪt
candle,kændəl
candlestick,kændəlstɪk
canned,kænd
cannes,kæn
CANNON,ˈkænən
cannot,kæn'nɒt
cans,kænz
Cant,@Cant
CANTON,ˈkæntɒn
cantonese,kæntəniːz
cantor,ˈkæntɔː
canvass,kænvəs
CAP,kæp
CAPABILITY,ˌkeɪpəˈbɪləti
capable,keɪpəbəl
capacity,kəpæsɪti
cape,keɪp
capital,kæpɪtəl
capitalism,kæpɪtəlɪzəm
capitalist,kæpɪtəlɪst
CAPITALIZE,ˈkæpɪtəlaɪz
CAPPING,ˈkæpɪŋ
CAPSIZE,kæpˈsaɪz
CAPSULE,ˈkæpsjuːl
captain,kæptɪn
caption,kæpʃən
CAPTURE,ˈkæptʃə(r)
CAR,kɑː(r)
carbon,kɑː(r)bən
carbuncle,kɑː(r)bʌŋkəl
carcass,kɑː(r)kəs
card,kɑː(r)d
cardiac,kɑː(r)diæk
CARE,keə(r)
career,kərɪə(r)
careful,keə(r)fʊl
caretaker,keə(r)teɪkəʳ
carey,ˈkɛərɪ
carl,kɑːl
carlyle,kɑːˈlaɪl
carmaker,ˈkɑːˌmeɪkəˈkɑrˌmeɪkər
carnage,kɑː(r)nɪdʒ
carnegie,ˈkɑːnəɡɪ
carol,kærəl
carolina,ˌkærəˈlaɪnə
caroline,ˈkærəˌlaɪn
carpet,kɑː(r)pɪt
carrel,kærəl
carriage,kærɪdʒ
CARRIER,ˈkæriə(r)
CARROT,ˈkærət
CARRY,ˈkæri
CARRYING,ˈkæriɪŋ
carson,ˈkɑːsən
cart,kɑː(r)t
cartel,kɑː(r)tel
carter,ˈkɑːtə
CARTOONIST,kɑː(r)ˈtuːnɪst
CARVE,kɑː(r)v
CASE,keɪs
cash,kæʃ
CASINO,kəˈsiːnəʊ
CAST,kɑːst
CASTING,ˈkɑːstɪŋ
castle,kɑːsəl
casual,kæʒuəl
casualty,kæʒuəlti
cat,kæt
catalan,kætəlæn
CATALYST,ˈkætəlɪst
catastrophe,kətæstrəfi
catch,kætʃ
CATCHING,ˈkætʃɪŋ
CATEGORIZE,ˈkætɪɡəraɪz
CATEGORY,ˈkætəɡ(ə)ri
CATER,ˈkeɪtə(r)
catherine,ˈkæθrɪn
catholic,kæθlɪk
CAUGHT,kɔːt
CAUSE,kɔːz
caution,kɔːʃən
cautionary,kɔːʃənri
cautious,kɔːʃəs
CAVALIER,ˌkævəˈlɪə(r)
cd,siː
cease,siːs
cecile,səˈsil
cecilia,sɪˈsiːljə
cedi,ˈseɪdɪ
CEILING,ˈsiːlɪŋ
CELEBRATED,ˈseləˌbreɪtɪd
cell,sel
cellar,selə(r)
cellular,seljʊlə(r)
CEMENT,səˈment
CEMETERY,ˈsemətri
census,sensəs
CENT,sent
CENTER,ˈsentə(r)
CENTIME,ˈsɒnˌtiːm
CENTIMETER,ˈsentɪˌmiːtə(r)
CENTRALIZE,ˈsentrəlaɪz
centre,sentə(r)
century,sentʃəri
CEO,ˌsiː iː ˈəʊ
cerberus,ˈsɜːbərəs
CEREAL,ˈsɪəriəl
cereals,sɪəriəlz
ceremony,serɪməni
certain,sɜː(r)tən
certainly,sɜː(r)tənli
certainty,sɜː(r)tənti
CERTIFICATE,sə(r)ˈtɪfɪkət
cessation,seseɪʃən
chad,tʃæd
CHAIN,tʃeɪn
CHAIR,tʃeə(r)
CHAIRMAN,ˈtʃeə(r)mən
chairwoman,tʃeə(r)wʊmən
CHALLENGE,ˈtʃæləndʒ
CHALLENGED,ˈtʃælɪndʒd
challenger,tʃælɪndʒə(r)
CHALLENGING,ˈtʃælɪndʒɪŋ
chamber,tʃeɪmbə(r)
champagne,ʃæmpeɪn
CHAMPION,ˈtʃæmpiən
championship,tʃæmpiənʃɪp
CHANCE,tʃɑːns
chancery,tʃɑːnsəri
chandler,ˈtʃɑːndlə
CHANGE,tʃeɪndʒ
CHANGED,tʃeɪndʒd
changing,ˈtʃeɪndʒɪŋ
CHANNEL,ˈtʃæn(ə)l
channing,ˈtʃænɪŋ
chaos,keɪɒs
chapel,tʃæpəl
chapter,tʃæptə(r)
CHARACTER,ˈkærɪktə(r)
characteristic,kærɪktərɪstɪk
CHARACTERIZE,ˈkærɪktəraɪz
CHARGE,tʃɑː(r)dʒ
CHARGED,tʃɑː(r)dʒd
CHARITY,ˈtʃærəti
CHARM,tʃɑː(r)m
CHART,tʃɑː(r)t
charter,tʃɑː(r)təʳ
CHARTERED,ˈtʃɑː(r)tə(r)d
charts,tʃɑːts
CHASE,tʃeɪs
CHASTEN,ˈtʃeɪs(ə)n
chastened,ˈtʃeɪsənd
chat,tʃæt
château,ʃætoʊ
che,tʃiː
CHEAP,tʃiːp
CHEAT,tʃiːt
cheater,tʃiːtə(r)
CHECK,tʃek
checking,ˈtʃɛkɪŋ
cheddar,tʃedə(r)
chee-chee,ˈtʃiːˌtʃiː
cheek,tʃiːk
CHEER,tʃɪə(r)
CHEERIO,ˌtʃɪəriˈəʊ
CHEERLEADER,ˈtʃɪə(r)ˌliːdə(r)
cheese,tʃiːz
CHEMICAL,ˈkemɪk(ə)l
chemicals,ˈkɛmɪkəlz
chen-chiang,ˈtʃɛnˈtʃæŋ
cheng-chiang,ˈtʃɛŋˈtʃæŋ
chesapeake,ˈtʃɛsəˌpik
chest,tʃest
chevy,ˈtʃɛvɪ
CHIEF,tʃiːf
child,tʃaɪld
childish,tʃaɪldɪʃ
CHILDREN,ˈtʃɪldrən
chile,ˈtʃɪlɪ
chilean,ˈtʃɪlɪən
CHIME,tʃaɪm
chin,tʃɪn
chinese,tʃaɪniːz
chip,tʃɪp
CHIPS,tʃɪps
chipset,ˈtʃɪpsɛt
chocolate,tʃɒklɪt
CHOICE,tʃɔɪs
choking,ˈtʃəʊkɪŋ
CHOOSE,tʃuːz
CHOP,tʃɒp
chore,tʃɔː(r)
CHOSE,tʃəʊz
CHOSEN,ˈtʃəʊz(ə)n
christian,krɪstʃən
christie,ˈkrɪstɪ
christopher,ˈkrɪstəfə
chronic,krɒnɪk
chuckled,@chuckled
churn,tʃɜː(r)n
cigar,sɪgɑː(r)
cigarette,sɪgəret
CIRCLE,ˈsɜː(r)k(ə)l
circulation,sɜː(r)kjʊleɪʃən
circumspect,sɜː(r)kəmspekt
CIRCUMSTANCE,ˈsɜː(r)kəmstəns
circumstances,ˈsɜːkəmstænsˈsɜːkəmstənsɪz
circumvent,sɜː(r)kəmvent
citadel,sɪtədəl
CITE,saɪt
CITIZEN,ˈsɪtɪz(ə)n
citron,ˈsɪtrən
CITY,ˈsɪti
civic,sɪvɪk
civil,sɪvəl
civilian,sɪvɪliən
CL,@CL
CLAIM,kleɪm
CLAIMANT,ˈkleɪmənt
CLAMP,klæmp
clamping,ˈklæmpɪŋ
clan,klæn
clare,klɛə
clarified,klærɪfaɪd
CLARIFY,ˈklærəfaɪ
clarity,klærɪti
clash,klæʃ
clasp,klɑːsp
CLASS,klɑːs
classes,ˈklæsiːz
classic,klæsɪk
CLASSIFIED,ˈklæsɪfaɪd
claude,klɔːd
CLAUSE,klɔːz
claw,klɔː
CLEAN,kliːn
CLEANER,ˈkliːnə(r)
cleanshaven,ˈklinˌʃeɪvən
CLEAR,klɪə(r)
clear-cut,ˈklɪrˌkʌt
CLEARING,ˈklɪərɪŋ
CLEARINGHOUSE,klɪərɪŋhaʊs
clearly,ˈklɪəlɪ
clemens,ˈklɛmənz
clerk,klɑː(r)k
cleveland,ˈkliːvlənd
clever,klevə(r)
click,klɪk
CLIENT,ˈklaɪənt
cliff,klɪf
clifford,ˈklɪfərd
climate,klaɪmət
CLIMB,klaɪm
climbed,klaɪmd
CLIMBING,ˈklaɪmɪŋ
cling,klɪŋ
CLINIC,ˈklɪnɪk
clip,klɪp
clive,klaɪv
cloak,kloʊk
clock,klɒk
CLOSE,kləʊz
CLOSED,kləʊzd
closer,ˈkloʊzər
closest,kləʊsɪst
CLOSING,ˈkləʊzɪŋ
CLOSURE,ˈkləʊʒə(r)
clothes,kloʊðz
CLOTHING,ˈkləʊðɪŋ
CLOUD,klaʊd
clouds,klaʊdz
cloudy,klaʊdi
clout,klaʊt
CLOVER,ˈkləʊvə(r)
CLUB,klʌb
clubs,klʌbz
CLUE,kluː
clueless,kluːləs
CLUNG,klʌŋ
cluster,klʌstə(r)
CLUTCH,klʌtʃ
CO,kəʊ
coal,koʊl
COALESCE,ˌkəʊəˈles
coalition,koʊəlɪʃən
coastal,koʊstəl
coaster,koʊstə(r)
coat,koʊt
cobble,kɒbəl
COCOA,ˈkəʊkəʊ
code,koʊd
coffee,kɒfi
COFFER,ˈkɒfə(r)
coffers,ˈkɒfəz
cogent,koʊdʒənt
cognitive,kɒgnɪtɪv
cohen,ˈkəʊən
cohesive,koʊhiːsɪv
cohort,koʊhɔː(r)t
COIN,kɔɪn
COINCIDE,ˌkəʊɪnˈsaɪd
coincidence,koʊɪnsɪdəns
coincidentally,koʊɪnsɪdentli
COKE,kəʊk
coking,koʊkɪŋ
COLA,ˈkəʊlə
cold,koʊld
colin,ˈkɒlɪnˈkɑlɪn
coliseum,ˌkɒlɪˈsɪəm
collaborate,kəlæbəreɪt
collaboration,kəlæbəreɪʃən
collaborator,kəlæbəreɪtə(r)
COLLAPSE,kəˈlæps
collateral,kəlætərəl
COLLEAGUE,ˈkɒliːɡ
COLLECT,kəˈlekt
COLLECTED,kəˈlektɪd
collecting,kəlektɪŋ
COLLECTION,kəˈlekʃ(ə)n
collective,kəlektɪv
COLLECTOR,kəˈlektə(r)
college,kɒlɪdʒ
collegiate,kəliːdʒiət
collins,ˈkɒlɪnz
collision,kəlɪʒən
COLLUDE,kəˈluːd
collusion,kəluːʒən
Colm,@Colm
colombia,kəˈlɒmbɪə
colombian,kəlʌmbiən
colony,kɒləni
COLOR,ˈkʌlə(r)
colorado,ˌkɒləˈrɑːdəʊ
columbia,kəˈlʌmbɪə
columbus,kəˈlʌmbəs
COLUMN,ˈkɒləm
columnist,kɒləmɪst
comb,koʊm
combat,kɒmbæt
combination,kɒmbɪneɪʃən
COMBINE,kəmˈbaɪn
COMBINED,kəmˈbaɪnd
combining,kəmˈbaɪnɪŋ
COME,kʌm
comes,kʌmz
comfort,kʌmfə(r)t
comfortable,kʌmftəbəl
comfortably,kʌmftəbli
comfy,kʌmfi
COMING,ˈkʌmɪŋ
COMMAND,kəˈmɑːnd
commemoration,kəˌmɛməˈreɪʃən
COMMENT,ˈkɒment
commentary,kɒməntri
commercial,kəmɜː(r)ʃəl
COMMISSION,kəˈmɪʃ(ə)n
COMMIT,kəˈmɪt
COMMITMENT,kəˈmɪtmənt
COMMITTED,kəˈmɪtɪd
COMMITTEE,kəˈmɪti
COMMODITY,kəˈmɒdəti
common,kɒmən
commons,ˈkɒmənz
COMMUNICATE,kəˈmjuːnɪkeɪt
communicating,kəˈmjuːnɪˌkeɪtɪŋ
COMMUNICATION,kəˌmjuːnɪˈkeɪʃ(ə)n
communications,kəˌmjuːnɪˈkeɪʃənz
communiqué,kəmjuːnɪkeɪ
COMMUNITY,kəˈmjuːnəti
companion,kəmpænjən
companions,kəm'pænɪənz
companionship,kəmpænjənʃɪp
COMPANY,ˈkʌmp(ə)ni
COMPARE,kəmˈpeə(r)
COMPARED,kəmˈpeə(r)d
compassionate,kəmpæʃənət
COMPEL,kəmˈpel
COMPENSATE,ˈkɒmpənseɪt
COMPETE,kəmˈpiːt
COMPETING,kəmˈpiːtɪŋ
COMPETITOR,kəmˈpetɪtə(r)
COMPILE,kəmˈpaɪl
COMPLAIN,kəmˈpleɪn
COMPLAINT,kəmˈpleɪnt
COMPLETE,kəmˈpliːt
COMPLETED,kəmˈpliːtɪd
COMPLEX,kəmˈpleks
COMPLICATE,ˈkɒmplɪkeɪt
COMPLICATED,ˈkɒmplɪˌkeɪtɪd
COMPLICATION,ˌkɒmplɪˈkeɪʃ(ə)n
COMPLY,kəmˈplaɪ
COMPONENT,kəmˈpəʊnənt
compose,kəmpoʊz
COMPOSED,kəmˈpəʊzd
composition,ˌkɒmpə'zɪʃən
COMPRESS,kəmˈpres
compression,kəmˈprɛʃən
COMPRISE,kəmˈpraɪz
COMPUTER,kəmˈpjuːtə(r)
COMPUTING,kəmˈpjuːtɪŋ
con,kɒn
CONCEAL,kənˈsiːl
CONCENTRATE,ˈkɒns(ə)nˌtreɪt
CONCENTRATED,ˈkɒns(ə)nˌtreɪtɪd
CONCEPT,ˈkɒnsept
CONCERN,kənˈsɜː(r)n
CONCERNED,kənˈsɜː(r)nd
CONCERNING,kənˈsɜː(r)nɪŋ
CONCESSION,kənˈseʃ(ə)n
conclave,kɒŋkleɪv
CONCLUDE,kənˈkluːd
CONCLUSION,kənˈkluːʒ(ə)n
CONDITION,kənˈdɪʃ(ə)n
CONDO,ˈkɒndəʊ
CONDUCT,kənˈdʌkt
CONFERENCE,ˈkɒnf(ə)rəns
CONFINED,kənˈfaɪnd
confinement,kənfaɪnmənt
CONFINES,ˈkɒnfaɪnz
CONFIRM,kənˈfɜː(r)m
confirmation,ˌkɒnfəˈmeɪʃən
CONFIRMED,kənˈfɜː(r)md
CONFLICT,ˈkɒnflɪkt
CONFRONT,kənˈfrʌnt
CONFUSED,kənˈfjuːzd
CONGLOMERATE,kənˈɡlɒmərət
CONGREGATE,ˈkɒŋɡrɪɡeɪt
CONNECT,kəˈnekt
CONNECTED,kəˈnektɪd
CONNECTION,kəˈnekʃ(ə)n
CONSEQUENCE,ˈkɒnsɪkwəns
conservatory,kənsɜː(r)vətri
CONSIDER,kənˈsɪdə(r)
CONSIDERATION,kənˌsɪdəˈreɪʃ(ə)n
CONSIDERED,kənˈsɪdə(r)d
CONSIDERING,kənˈsɪdərɪŋ
CONSIGNMENT,kənˈsaɪnmənt
CONSIST,kənˈsɪst
consolation,ˌkɒnsəˈleɪʃən
CONSOLIDATE,kənˈsɒlɪdeɪt
CONSOLIDATION,@CONSOLIDATION
conspicuous,kənspɪkjuəs
CONSPIRE,kənˈspaɪə(r)
CONSTITUTE,ˈkɒnstɪˌtjuːt
CONSTRAINED,kənˈstreɪnd
CONSTRAINT,kənˈstreɪnt
CONSTRUCT,kənˈstrʌkt
constructed,kən'strʌktɪd
CONSTRUCTOR,kənˈstrʌktə(r)
CONSULTANT,kənˈsʌltənt
CONSULTING,kənˈsʌltɪŋ
CONSUMER,kənˈsjuːmə(r)
CONSUMING,kənˈsjuːmɪŋ
CONTACT,ˈkɒntækt
CONTAIN,kənˈteɪn
contained,kənˈteɪnd
CONTEMPLATE,ˈkɒntəmˌpleɪt
CONTEND,kənˈtend
CONTENDER,kənˈtendə(r)
CONTENT,ˈkɒntent
contents,ˈkɒntɛntsˈkɒntɛnts
CONTEST,ˈkɒntest
CONTINENT,ˈkɒntɪnənt
CONTINGENCY,kənˈtɪndʒ(ə)nsi
CONTINUE,kənˈtɪnjuː
CONTINUED,kənˈtɪnjuːd
CONTINUING,kənˈtɪnjʊɪŋ
contort,kəntɔː(r)t
contorted,kənˈtɔːtɪd
CONTRACT,ˈkɒntrækt
CONTRAST,ˈkɒntrɑːst
CONTRIBUTE,kənˈtrɪbjuːt
CONTRIBUTION,ˌkɒntrɪˈbjuːʃ(ə)n
CONTROL,kənˈtrəʊl
CONTROLLED,kənˈtrəʊld
CONTROLLING,kən'trəʊlɪŋ
CONTROVERSY,ˈkɒntrəvɜː(r)si
CONVENE,kənˈviːn
CONVERGE,kənˈvɜː(r)dʒ
CONVERSATION,ˌkɒnvə(r)ˈseɪʃ(ə)n
CONVERSION,kənˈvɜː(r)ʃ(ə)n
CONVERT,kənˈvɜː(r)t
CONVICTED,kənˈvɪktɪd
CONVICTION,kənˈvɪkʃ(ə)n
CONVINCED,kənˈvɪnst
convincing,kənvɪnsɪŋ
CONVULSE,kənˈvʌls
cook,kʊk
cook shop,ˈkʊkˌʃɒp
COOKY,@COOKY
COOL,kuːl
COOLING,ku:lɪŋ
COOPERATE,kəʊˈɒpəreɪt
COORDINATE,kəʊˈɔː(r)dɪneɪt
cope,koʊp
COPING,ˈkəʊpɪŋ
copper,kɒpə
CORNER,ˈkɔː(r)nə(r)
CORPORATION,ˌkɔː(r)pəˈreɪʃ(ə)n
CORPS,kɔː(r)
corpse,kɔː(r)ps
CORRECT,kəˈrekt
CORRESPOND,ˌkɒrɪˈspɒnd
CORRESPONDING,ˌkɒrɪˈspɒndɪŋ
CORROBORATE,kəˈrɒbəreɪt
COSMETICS,kɒzˈmetɪks
COST,kɒst
COSTING,ˈkɒstɪŋ
cottage,kɒtɪdʒ
COTTON,ˈkɒt(ə)n
couch,kaʊtʃ
cough,kɒf
coughed,kɒft
coughing,ˈkɒfɪŋ
could,kʊd
couldn’t,kʊdnt
council,kaʊnsəl
counsel,kaʊnsəl
COUNT,kaʊnt
countenance,kaʊntɪnəns
COUNTER,ˈkaʊntə(r)
COUNTERPART,ˈkaʊntə(r)ˌpɑː(r)t
countless,kaʊntləs
COUNTRY,ˈkʌntri
COUNTY,ˈkaʊnti
COUPLE,ˈkʌp(ə)l
course,kɔ:s
COURT,kɔː(r)t
COUSIN,ˈkʌz(ə)n
COVER,ˈkʌvə(r)
COVERED,ˈkʌvə(r)d
COVERING,ˈkʌv(ə)rɪŋ
CRACK,kræk
cracked,krækt
CRACKERS,ˈkrækə(r)z
CRACKING,ˈkrækɪŋ
cradle,kreɪdəl
crane,kreɪn
CRASH,kræʃ
crass,kræs
crawl,krɔːl
crawled,@crawled
craze,kreɪz
crazy,kreɪzɪ
crease,kriːs
CREATE,kriˈeɪt
creature,kriːtʃə(r)
CREDENTIALS,krɪˈdenʃ(ə)lz
CREDIT,ˈkredɪt
CREDITOR,ˈkredɪtə(r)
creep,kriːp
crest,krest
cried,kraɪd
CRIME,kraɪm
CRIMP,krɪmp
CRIPPLE,ˈkrɪp(ə)l
CRISIS,ˈkraɪsɪs
CRITERION,kraɪˈtɪəriən
CRITIC,ˈkrɪtɪk
CRITICIZE,ˈkrɪtɪsaɪz
CROP,krɒp
CROSS,krɒs
CROSSROADS,ˈkrɒsˌrəʊdz
crouch,kraʊtʃ
croup,kruːp
CROWD,kraʊd
Crowley,@Crowley
CROWNING,ˈkraʊnɪŋ
cruise,kruːz
CRUMBLE,ˈkrʌmb(ə)l
crumpled,ˈkrʌmpəld
CRUSHED,krʌʃt
crusted,krʌstɪd
cry,kraɪ
CRYING,ˈkraɪɪŋ
cubs,@cubs
CULTIVATE,ˈkʌltɪveɪt
CULTIVATED,ˈkʌltɪˌveɪtɪd
CURB,kɜː(r)b
curing,ˈkjʊərɪŋ
curiosity,kjʊəriɒsɪti
curious,kjʊəriəs
curled,kɜːld
CURRENCY,ˈkʌrənsi
current,kʌrənt
curse,kɜː(r)s
cursed,kɜː(r)st
cursing,@cursing
curtain,kɜː(r)tən
curtains,ˈkɜːtənz
curtsy,kɜː(r)tsi
CUSHION,ˈkʊʃ(ə)n
CUSTODIAN,kʌˈstəʊdiən
customary,kʌstəmri
CUSTOMER,ˈkʌstəmə(r)
CUSTOMIZE,ˈkʌstəmaɪz
customs,kʌstəmz
CUT,kʌt
CUTTING,ˈkʌtɪŋ
CYCLE,ˈsaɪk(ə)l
cynical,sɪnɪkəl
daft,dɑːft
daily,deɪli
Dale,deɪl
DAMAGE,ˈdæmɪdʒ
damages,ˈdæmɪdʒɪz
damn,dæm
damnably,ˈdæmnəblɪ
DAMNING,ˈdæmɪŋ
DAMP,dæmp
DAMPEN,ˈdæmpən
damping,ˈdæmpɪŋ
Dance,dɑ:ns
dancer,dɑːnsə(r)
dancing,dɑːnsɪŋ
DANGER,ˈdeɪndʒə(r)
DANGLING,@DANGLING
dare,deə(r)
DARK,dɑː(r)k
DARKENED,ˈdɑː(r)kənd
darkling,ˈdɑːklɪŋ
darkness,dɑ:knəs
darling,dɑː(r)lɪŋ
DASHED,dæʃt
DASHING,ˈdæʃɪŋ
DATA,ˈdeɪtə
DATE,deɪt
DATED,ˈdeɪtɪd
dates,deɪts
dating,deɪtɪŋ
DAUGHTER,ˈdɔːtə(r)
DAY,deɪ
daylight,deɪlaɪt
days,deɪz
de,də
DEAD,ded
DEADLINE,ˈdedˌlaɪn
DEADLOCKED,ˈdedˌlɒkt
DEAL,diːl
DEALER,ˈdiːlə(r)
DEALING,ˈdiːlɪŋ
dealings,diːlɪŋz
DEALT,delt
dear,dɪə
death,deθ
DEBATE,dɪˈbeɪt
debating,dɪˈbeɪtɪŋ
DEBENTURE,dɪˈbentʃə(r)
DEBT,det
debtor,detə(r)
DEBUT,ˈdeɪbjuː
DECADE,ˈdekeɪd
DECELERATE,diːˈseləreɪt
decide,dɪsaɪd
DECIDED,dɪˈsaɪdɪd
DECIDING,dɪˈsaɪdɪŋ
DECISION,dɪˈsɪʒ(ə)n
declaration,dekləreɪʃən
DECLARED,dɪˈkleə(r)d
DECLINE,dɪˈklaɪn
DECLINER,@DECLINER
DECLINING,dɪˈklaɪnɪŋ
DECREASE,diːˈkriːs
DEDICATED,ˈdedɪˌkeɪtɪd
DEEM,diːm
DEEP,diːp
DEEPEN,ˈdiːpən
deepening,ˈdiːpənɪŋ
DEFAULT,dɪˈfɔːlt
defaulting,dɪˈfɔːltɪŋ
DEFECT,ˈdiːfekt
DEFECTOR,@DEFECTOR
DEFEND,dɪˈfend
DEFENDANT,dɪˈfendənt
DEFER,dɪˈfɜː(r)
DEFICIENCY,dɪˈfɪʃ(ə)nsi
DEFICIT,ˈdefəsɪt
DEFINE,dɪˈfaɪn
DEFINING,dɪˈfaɪnɪŋ
DEFINITION,ˌdefəˈnɪʃ(ə)n
defrost,diːfrɒst
DEGREE,dɪˈɡriː
DELAY,dɪˈleɪ
DELEGATE,ˈdeləɡət
DELIBERATION,dɪˌlɪbəˈreɪʃ(ə)n
delicate,delɪkət
DELIGHT,dɪˈlaɪt
delighted,dɪlaɪtɪd
DELIVER,dɪˈlɪvə(r)
DEMAND,dɪˈmɑːnd
DEMANDING,dɪˈmɑːndɪŋ
DEMOCRAT,ˈdeməkræt
democratic,deməkrætɪk
demolish,dɪmɒlɪʃ
demon,@demon
DEMONIZE,ˈdiːmənaɪz
demons,@demons
DEMONSTRATE,ˈdemənˌstreɪt
DEMONSTRATOR,ˈdemənˌstreɪtə(r)
den,@den
DENOMINATE,dɪˈnɒmɪneɪt
DENY,dɪˈnaɪ
